disease,category,cause,transmission,common_symptoms,prevention,medical_note,source,source_url
Malaria,Infectious,Plasmodium parasites,Mainly bites of infected female Anopheles mosquitoes,"Fever, chills, headache; severe disease can cause confusion, seizures and difficulty breathing",Avoid mosquito bites; use recommended preventive medicines when appropriate; early testing,Suspected malaria should be confirmed with parasite-based testing and treated promptly,WHO,https://www.who.int/news-room/fact-sheets/detail/malaria
Tuberculosis (TB),Infectious,Mycobacterium tuberculosis bacteria,"Airborne spread from people with TB, especially through coughing, sneezing or spitting","Prolonged cough, chest pain, weakness, fatigue, weight loss, fever, night sweats",Early detection and treatment; vaccination in countries where BCG is recommended; reduce exposure and improve ventilation,TB is preventable and curable; treatment requires prescribed antibiotics and adherence,WHO,https://www.who.int/news-room/fact-sheets/detail/tuberculosis
Diabetes,Chronic / Noncommunicable,Insufficient insulin production or ineffective use of insulin,Not contagious,"Increased thirst, frequent urination, blurred vision, tiredness, unintentional weight loss","Healthy diet, regular physical activity, healthy body weight and avoiding tobacco can help prevent or delay type 2 diabetes","Diagnosis and treatment require healthcare assessment; management may include lifestyle measures, medicines and monitoring",WHO,https://www.who.int/news-room/fact-sheets/detail/diabetes
Asthma,Chronic / Respiratory,Airway inflammation and narrowing; triggers vary between people,Not contagious,"Cough, wheezing, shortness of breath, chest tightness",Identify and reduce personal triggers; follow an individualized asthma management plan,Inhaled medicines can control symptoms; diagnosis and treatment should be guided by a healthcare professional,WHO,https://www.who.int/news-room/fact-sheets/detail/asthma
Rabies,Infectious / Zoonotic,Rabies virus,Usually saliva from an infected animal through bites or scratches,"Once clinical symptoms appear, rabies causes severe neurological disease and is virtually 100% fatal",Vaccinate dogs; avoid animal bites; immediately wash wounds and seek post-exposure care after a potentially risky exposure,Prompt post-exposure prophylaxis can prevent disease after exposure; seek medical care immediately,WHO,https://www.who.int/news-room/fact-sheets/detail/rabies
Dengue,Infectious / Vector-borne,Dengue virus,Bites of infected Aedes mosquitoes,"High fever, headache, pain behind the eyes, muscle/joint pain, nausea, vomiting, rash","Avoid mosquito bites, especially during the day; reduce mosquito breeding sites",There is no specific antiviral treatment; severe symptoms require immediate medical care,WHO,https://www.who.int/en/news-room/fact-sheets/detail/dengue-and-severe-dengue
Hypertension,Chronic / Cardiovascular,"Persistently high blood pressure; multiple genetic, environmental and lifestyle factors can contribute",Not contagious,"Often no symptoms; very high blood pressure may cause severe headache, chest pain, dizziness, breathing difficulty or vision changes","Healthy diet, physical activity, reducing salt, avoiding tobacco and managing risk factors; regular blood-pressure checks",Blood pressure measurement is needed for detection; very high blood pressure with concerning symptoms needs immediate care,WHO,https://www.who.int/news-room/fact-sheets/detail/hypertension
Stroke,Neurological / Cardiovascular,Interruption of brain blood flow due to blockage or bleeding,Not contagious,"Sudden facial droop, arm weakness, speech difficulty, vision loss, dizziness or loss of balance","Control blood pressure, avoid tobacco, maintain a healthy diet and physical activity, and manage other risk factors",Stroke is a medical emergency; rapid assessment and treatment are essential,WHO,https://www.who.int/news-room/fact-sheets/detail/stroke
Cholera,Infectious / Waterborne,Vibrio cholerae bacteria,Food or water contaminated with the bacterium,Acute watery diarrhoea and dehydration; severe illness can progress rapidly,"Safe drinking water, sanitation, hygiene and vaccination where recommended",Rapid rehydration is critical; severe cases may require intravenous fluids and other medical treatment,WHO,https://www.who.int/news-room/fact-sheets/detail/cholera
COVID-19,Infectious / Respiratory,SARS-CoV-2 coronavirus,"Mainly through infectious respiratory particles, especially in close contact or shared indoor spaces","Fever, chills, sore throat; other symptoms can occur",Follow current vaccination recommendations and reduce exposure to infectious respiratory particles,"Most people recover without treatment, but people at higher risk of severe disease should seek medical advice promptly",WHO,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-%28covid-19%29
Hepatitis B,Infectious / Liver disease,Hepatitis B virus (HBV),"Mother-to-child during birth; blood and certain body-fluid exposures, including sexual transmission",May be asymptomatic; acute infection can cause illness and chronic infection can damage the liver,Hepatitis B vaccination; safe injection practices and prevention of blood/body-fluid exposure,Chronic infection can lead to cirrhosis and liver cancer; medical evaluation is important,WHO,https://www.who.int/news-room/fact-sheets/detail/hepatitis-b
Typhoid fever,Infectious / Waterborne,Salmonella Typhi bacteria,Usually contaminated food or water,"Prolonged fever, fatigue, headache, nausea, abdominal pain, constipation or diarrhoea; sometimes rash","Safe water, sanitation, hand hygiene and typhoid vaccination where recommended","Can be treated with antibiotics, but resistance can complicate treatment; diagnosis should be medically confirmed",WHO,https://www.who.int/news-room/fact-sheets/detail/typhoid
Chronic obstructive pulmonary disease (COPD),Chronic / Respiratory,Long-term lung damage; tobacco smoke and household air pollution are important risk factors,Not contagious,"Persistent cough, sometimes with phlegm, difficulty breathing, wheezing and tiredness",Avoid tobacco smoke and reduce exposure to household and environmental air pollution,Symptoms can be managed with medical treatment and risk-factor reduction; diagnosis requires clinical assessment,WHO,https://www.who.int/en/news-room/fact-sheets/detail/chronic-obstructive-pulmonary-disease-%28copd%29
Influenza (Seasonal Flu),Infectious / Respiratory,Influenza viruses (Type A and B),Airborne droplets and contact with contaminated surfaces,"Sudden high fever, body aches, chills, dry cough, sore throat, fatigue","Annual influenza vaccination, hand hygiene","Antivirals such as oseltamivir may shorten illness when prescribed and started early",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/influenza-seasonal
